epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.521,1.57431,4.59836,1.36643,0.9661,0.98276,0.98431,0.64794,1.02154,4.08886,0.96807,0.00014,0.00014,0.00014
2,28.9689,1.60004,3.47633,1.28931,0.33526,1,0.99041,0.60945,1.16713,3.55072,1.01424,0.000282179,0.000282179,0.000282179
3,39.5983,1.56727,2.24188,1.2635,0.94435,0.98276,0.97357,0.49088,1.55642,2.83094,1.05761,0.000421486,0.000421486,0.000421486
4,49.3668,1.46452,1.88786,1.26588,0.82844,0.94828,0.94335,0.49429,1.47048,3.11128,1.0613,0.00048515,0.00048515,0.00048515
5,59.6185,1.47385,1.87611,1.26302,0.85283,0.96552,0.93147,0.57426,1.20202,2.08563,0.99445,0.0004802,0.0004802,0.0004802
6,69.5418,1.40433,1.75316,1.1678,0.81948,0.93927,0.94249,0.64286,1.08826,1.7697,0.97881,0.00047525,0.00047525,0.00047525
7,79.6962,1.33795,1.52516,1.17395,0.9169,0.95128,0.96537,0.60476,1.11262,1.58766,1.05814,0.0004703,0.0004703,0.0004703
8,90.9612,1.31144,1.50198,1.19296,0.96219,0.94828,0.98912,0.64476,1.00078,1.748,1.05812,0.00046535,0.00046535,0.00046535
9,102.538,1.39376,1.45357,1.26297,1,0.96372,0.99432,0.66996,0.9975,1.66924,1.07884,0.0004604,0.0004604,0.0004604
10,113.631,1.30695,1.43318,1.24523,1,0.99252,0.995,0.67794,0.98405,1.39707,1.03752,0.00045545,0.00045545,0.00045545
11,125.702,1.29395,1.47464,1.21485,0.99725,1,0.995,0.70934,0.95416,1.34566,1.04323,0.0004505,0.0004505,0.0004505
12,137.511,1.28768,1.41429,1.19858,0.98014,1,0.99483,0.71779,0.95063,1.29207,1.04871,0.00044555,0.00044555,0.00044555
13,148.783,1.2443,1.42617,1.23956,0.96657,0.99713,0.99174,0.72665,0.91852,1.27586,1.03914,0.0004406,0.0004406,0.0004406
14,159.782,1.2762,1.37004,1.2048,0.99773,1,0.995,0.71051,0.91223,1.29805,1.02679,0.00043565,0.00043565,0.00043565
15,172.918,1.22339,1.33042,1.20309,0.99795,1,0.995,0.71863,0.93122,1.34228,1.02741,0.0004307,0.0004307,0.0004307
16,183.868,1.27606,1.29114,1.19103,0.99852,1,0.995,0.70643,0.95016,1.2901,1.02863,0.00042575,0.00042575,0.00042575
17,195.424,1.20995,1.25335,1.18195,0.9969,1,0.995,0.71049,0.93621,1.20958,1.03024,0.0004208,0.0004208,0.0004208
18,208.198,1.15606,1.25096,1.16337,0.99791,1,0.995,0.71596,0.94116,1.18688,1.04562,0.00041585,0.00041585,0.00041585
19,219.588,1.16484,1.24409,1.15938,0.9981,1,0.995,0.72815,0.9116,1.20662,1.04671,0.0004109,0.0004109,0.0004109
20,231.022,1.08628,1.15572,1.11406,0.99829,1,0.995,0.73393,0.915,1.18279,1.04776,0.00040595,0.00040595,0.00040595
21,242.251,1.12293,1.10313,1.15633,1,0.99834,0.995,0.73928,0.9042,1.1093,1.05122,0.000401,0.000401,0.000401
22,254.132,1.12181,1.12418,1.17142,1,0.99884,0.995,0.73584,0.88441,1.09759,1.03637,0.00039605,0.00039605,0.00039605
23,265.877,1.18952,1.16478,1.22168,1,0.99923,0.995,0.74398,0.86916,1.18558,1.03848,0.0003911,0.0003911,0.0003911
24,277.151,1.12015,1.12853,1.14435,0.99979,1,0.995,0.73837,0.88711,1.14126,1.07152,0.00038615,0.00038615,0.00038615
25,289.24,1.11017,1.11098,1.19332,0.99908,1,0.995,0.73352,0.90851,1.09866,1.09104,0.0003812,0.0003812,0.0003812
26,301.296,1.15384,1.08723,1.19906,0.99922,1,0.995,0.73825,0.85802,1.02835,1.06858,0.00037625,0.00037625,0.00037625
27,314.445,1.07836,1.0824,1.15269,0.99881,1,0.995,0.77721,0.82704,1.07397,1.028,0.0003713,0.0003713,0.0003713
28,333.172,1.07241,1.05089,1.13256,0.99856,1,0.995,0.77316,0.86622,1.10726,1.03314,0.00036635,0.00036635,0.00036635
29,346.293,1.14664,1.03311,1.14102,0.99882,1,0.995,0.75392,0.88386,1.04572,1.04426,0.0003614,0.0003614,0.0003614
30,359.345,1.10354,0.99208,1.13001,0.99859,1,0.995,0.76401,0.83673,1.02012,1.04149,0.00035645,0.00035645,0.00035645
31,372.782,1.16487,0.97635,1.2067,0.99728,1,0.995,0.77849,0.83058,1.02886,1.04056,0.0003515,0.0003515,0.0003515
32,387.071,1.11816,1.11434,1.14179,0.9979,1,0.995,0.77027,0.83837,1.06716,1.03903,0.00034655,0.00034655,0.00034655
33,399.829,1.099,1.03428,1.10772,0.99728,1,0.995,0.77632,0.84518,1.04073,1.03524,0.0003416,0.0003416,0.0003416
34,411.947,1.24472,1.09122,1.19009,0.99636,1,0.995,0.76001,0.88551,0.98852,1.02713,0.00033665,0.00033665,0.00033665
35,425.137,1.08338,1.00721,1.1111,0.99786,1,0.995,0.78142,0.83816,0.94214,1.01322,0.0003317,0.0003317,0.0003317
36,437.308,1.10763,1.00197,1.19049,0.99796,1,0.995,0.7805,0.79361,0.91789,1.01022,0.00032675,0.00032675,0.00032675
37,465.096,1.06325,1.00003,1.12271,0.99836,1,0.995,0.75535,0.8308,0.93707,1.02105,0.0003218,0.0003218,0.0003218
38,480.889,1.12933,1.02273,1.15025,0.99845,1,0.995,0.74205,0.83505,0.96518,1.0252,0.00031685,0.00031685,0.00031685
39,498.878,1.12376,0.99458,1.15002,0.998,1,0.995,0.76338,0.84164,0.9642,1.0295,0.0003119,0.0003119,0.0003119
40,515.572,1.08298,0.93447,1.10928,0.99712,1,0.995,0.77091,0.80934,0.9182,1.01569,0.00030695,0.00030695,0.00030695
41,530.075,1.06662,0.95802,1.08381,0.99867,1,0.995,0.75485,0.80181,0.9232,1.01775,0.000302,0.000302,0.000302
42,544.945,1.11696,0.99395,1.15445,0.99752,1,0.995,0.73608,0.8331,0.94162,1.03554,0.00029705,0.00029705,0.00029705
43,559.143,1.05421,0.95699,1.14112,0.9978,1,0.995,0.7659,0.84983,0.97027,1.02087,0.0002921,0.0002921,0.0002921
44,572.769,1.0123,0.93937,1.12014,0.99759,1,0.995,0.76645,0.90028,0.92927,1.02492,0.00028715,0.00028715,0.00028715
45,587.179,1.12702,0.96473,1.1568,0.9972,1,0.995,0.76727,0.87712,0.88235,1.02921,0.0002822,0.0002822,0.0002822
46,600.981,1.01399,0.87265,1.10001,0.99812,1,0.995,0.77364,0.7755,0.84088,1.01109,0.00027725,0.00027725,0.00027725
47,614.837,1.04417,0.90629,1.12684,0.9813,1,0.99398,0.76967,0.75394,0.84381,1.01309,0.0002723,0.0002723,0.0002723
48,628.553,1.08131,0.89379,1.10988,0.99803,1,0.995,0.77476,0.74391,0.84928,1.01214,0.00026735,0.00026735,0.00026735
49,642.253,0.97811,0.85598,1.08229,0.99804,1,0.995,0.77297,0.75767,0.83273,1.00211,0.0002624,0.0002624,0.0002624
50,656.608,1.03071,0.92818,1.07672,0.98019,1,0.99042,0.7709,0.78376,0.82023,1.00308,0.00025745,0.00025745,0.00025745
51,671.368,1.01653,0.87363,1.10619,0.991,1,0.995,0.77538,0.79021,0.80247,1.00681,0.0002525,0.0002525,0.0002525
52,685.97,1.00378,0.88838,1.11224,0.98938,1,0.995,0.7753,0.78377,0.81041,1.00641,0.00024755,0.00024755,0.00024755
53,699.972,0.97089,0.83582,1.08671,0.99867,1,0.995,0.7813,0.76917,0.80137,1.0029,0.0002426,0.0002426,0.0002426
54,713.906,1.08406,0.94438,1.17973,0.99876,1,0.995,0.76726,0.79614,0.83531,1.004,0.00023765,0.00023765,0.00023765
55,727.429,1.00183,0.85083,1.07102,0.99858,1,0.995,0.75697,0.88207,0.86888,1.01871,0.0002327,0.0002327,0.0002327
56,741.081,0.99687,0.83268,1.09808,0.99893,1,0.995,0.74919,0.90539,0.85155,1.02647,0.00022775,0.00022775,0.00022775
57,754.263,1.08771,0.91084,1.079,0.9989,1,0.995,0.74722,0.87549,0.8343,1.01942,0.0002228,0.0002228,0.0002228
58,768.543,0.98849,0.84542,1.09962,0.99858,1,0.995,0.78454,0.77509,0.80914,1.00136,0.00021785,0.00021785,0.00021785
59,781.873,0.94905,0.7784,1.07573,0.99835,1,0.995,0.78028,0.78495,0.84073,0.99688,0.0002129,0.0002129,0.0002129
60,796.247,0.97704,0.81644,1.06698,0.99836,1,0.995,0.777,0.78853,0.87088,0.99671,0.00020795,0.00020795,0.00020795
61,809.823,0.94819,0.78778,1.05635,0.99853,1,0.995,0.7684,0.77885,0.85455,0.99701,0.000203,0.000203,0.000203
62,823.269,1.003,0.84912,1.1268,0.99885,1,0.995,0.77406,0.79407,0.80631,0.99864,0.00019805,0.00019805,0.00019805
63,836.131,0.9659,0.84211,1.06125,0.99885,1,0.995,0.7814,0.79157,0.78703,0.99716,0.0001931,0.0001931,0.0001931
64,849.978,0.91077,0.82112,1.08561,0.99901,1,0.995,0.79129,0.7733,0.7761,0.99596,0.00018815,0.00018815,0.00018815
65,863.911,0.88614,0.75987,1.04254,0.9992,1,0.995,0.79447,0.77515,0.80291,0.99388,0.0001832,0.0001832,0.0001832
66,877.618,1.03082,0.88247,1.10533,0.9989,1,0.995,0.79564,0.75544,0.79184,0.98749,0.00017825,0.00017825,0.00017825
67,890.713,0.99592,0.86047,1.11612,0.99877,1,0.995,0.80035,0.77864,0.76436,0.9941,0.0001733,0.0001733,0.0001733
68,905.245,0.98713,0.88749,1.08372,0.99883,1,0.995,0.80438,0.7977,0.76304,0.99497,0.00016835,0.00016835,0.00016835
69,919.1,0.96049,0.77298,1.07721,0.99888,1,0.995,0.79698,0.81313,0.74506,0.99595,0.0001634,0.0001634,0.0001634
70,933.04,1.00533,0.83247,1.13033,0.99892,1,0.995,0.79566,0.77081,0.73292,0.98868,0.00015845,0.00015845,0.00015845
