epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4765,2.33606,4.92451,1.72964,0,0,0,0,1.37006,4.83945,1.25062,3e-05,3e-05,3e-05
2,18.4372,2.39603,4.94784,1.7544,0,0,0,0,1.275,4.8153,1.1726,6.43565e-05,6.43565e-05,6.43565e-05
3,21.0816,2.11327,4.8389,1.55183,0,0,0,0,1.33714,4.80697,1.18352,9.802e-05,9.802e-05,9.802e-05
4,23.7451,1.80632,4.73289,1.37946,0,0,0,0,1.25327,4.78186,1.15755,0.00013099,0.00013099,0.00013099
5,26.4784,1.77418,4.4912,1.38435,0.8,0.36364,0.365,0.2035,1.19915,4.7506,1.18827,0.000163268,0.000163268,0.000163268
6,29.2248,1.77519,4.32362,1.40289,0.33333,0.45455,0.44,0.20013,1.30958,4.72109,1.2506,0.000194853,0.000194853,0.000194853
7,32.045,1.70169,4.01503,1.38053,0.33333,0.45455,0.44,0.20013,1.30958,4.72109,1.2506,0.000225744,0.000225744,0.000225744
8,34.6925,1.71622,3.6665,1.36135,0.14286,0.45455,0.42125,0.20075,1.31718,4.67926,1.27144,0.000255943,0.000255943,0.000255943
9,37.6168,1.77116,3.36381,1.37031,1,0.31692,0.49904,0.25509,1.33335,4.43734,1.32654,0.000285448,0.000285448,0.000285448
10,40.2497,1.75017,2.91035,1.26294,1,0.31692,0.49904,0.25509,1.33335,4.43734,1.32654,0.000314261,0.000314261,0.000314261
11,42.8485,1.32573,2.91446,1.12531,0.95416,0.45455,0.63385,0.30713,1.36088,3.65335,1.16043,0.00034238,0.00034238,0.00034238
12,45.8096,1.59599,2.53095,1.28126,0.95416,0.45455,0.63385,0.30713,1.36088,3.65335,1.16043,0.000369806,0.000369806,0.000369806
13,48.7102,1.57563,2.46467,1.29715,1,0.71697,0.829,0.46773,1.32134,2.66881,1.16181,0.00039654,0.00039654,0.00039654
